Material,Material description,Bundle,Khu Vực,Status,Color,Material Description,Size Type,IsValid,Case
C0000002125,CCDC_11 TRANG,CCDC_11,IM,C3,TRANG,Classic Deep Clean11 FH White Handle,HDL_CC_11_WH_Size,Yes,WHEN 'C0000002125' THEN 'CCDC_11'
C0000002126,CCDC_11_S DUONG,CCDC_11_S,TE,C5,DUONG,,,No,WHEN 'C0000002126' THEN 'CCDC_11_S'
C0000002127,CCDC_11_S LA,CCDC_11_S,TE,C5,LA,,,No,WHEN 'C0000002127' THEN 'CCDC_11_S'
C0000002129,CCDC_11_S VANG,CCDC_11_S,TE,C5,VANG,,,No,WHEN 'C0000002129' THEN 'CCDC_11_S'
C0000002130,CCDC_11_S TRANG,CCDC_11_S,TE,C3,TRANG,Classic Deep Clean 11 FHS White TB,TE_CC_11_WH_Size,Yes,WHEN 'C0000002130' THEN 'CCDC_11_S'
C0000002131,CCDC_11_M DUONG,CCDC_11_M,TE,C5,DUONG,Classic Deep Clean 11 FHM Blue TB,,No,WHEN 'C0000002131' THEN 'CCDC_11_M'
C0000002132,CCDC_11_M LA,CCDC_11_M,TE,C5,LA,Classic Deep Clean 11 FHM Green TB,,No,WHEN 'C0000002132' THEN 'CCDC_11_M'
C0000002134,CCDC_11_M VANG,CCDC_11_M,TE,C5,VANG,,,No,WHEN 'C0000002134' THEN 'CCDC_11_M'
C0000002136,CCDC_11_H DUONG,CCDC_11_H,TE,C5,DUONG,,,No,WHEN 'C0000002136' THEN 'CCDC_11_H'
C0000002137,CCDC_11_H LA,CCDC_11_H,TE,C5,LA,,,No,WHEN 'C0000002137' THEN 'CCDC_11_H'
C0000002139,CCDC_11_H VANG,CCDC_11_H,TE,C5,VANG,,,No,WHEN 'C0000002139' THEN 'CCDC_11_H'
C0000002263,CCDC_11 HONG,CCDC_11,IM,C5,HONG,,,No,WHEN 'C0000002263' THEN 'CCDC_11'
